output_protocol,component,model,cutoff_percent,n,exact_match,token_f1,sentencebert
oa_only,output,luna,40,265,0.4188679245283019,0.8198721946446696,0.8609033441768502
oa_only,output,luna,55,265,0.4981132075471698,0.8764413438331308,0.9054300493789169
oa_only,output,luna,70,265,0.5433962264150943,0.8852922678505364,0.9113538578996119
oa_only,output,luna,85,265,0.5094339622641509,0.8890758064231982,0.9166561662026171
oa_only,output,luna,95,265,0.5509433962264151,0.9037462512823223,0.9235842245929646
oa_only,action,tuned_qwen,all,1590,0.5761006289308176,0.8478769720639865,0.8831040985929142
oa_only,action,tuned_qwen,25,265,0.5622641509433962,0.8480816772326206,0.8708948188795234
oa_only,action,tuned_qwen,40,265,0.5622641509433962,0.8486238283852047,0.879474032599971
oa_only,action,tuned_qwen,55,265,0.5660377358490566,0.8445054852657516,0.8789175022323177
oa_only,action,tuned_qwen,70,265,0.5962264150943396,0.850132216408576,0.8946041162846223
oa_only,action,tuned_qwen,85,265,0.5886792452830188,0.8479731096379265,0.8865968239194942
oa_only,action,tuned_qwen,95,265,0.5811320754716981,0.8479455154538396,0.8881372976415562
oa_only,action,qwen_base,all,1590,0.620754716981132,0.8526722962572019,0.8919418990190299
oa_only,action,qwen_base,25,265,0.4716981132075472,0.7480293291614046,0.8161409440467943
oa_only,action,qwen_base,40,265,0.5358490566037736,0.8024151320377736,0.8676915937437202
oa_only,action,qwen_base,55,265,0.6226415094339622,0.8514311055820489,0.898057954744348
oa_only,action,qwen_base,70,265,0.6716981132075471,0.8898813974285672,0.9150138958445135
oa_only,action,qwen_base,85,265,0.7018867924528301,0.9098809366733895,0.9260928162426318
oa_only,action,qwen_base,95,265,0.720754716981132,0.9143958766600276,0.9286541894921717
oa_only,action,gpt4o,all,1590,0.5767295597484277,0.8140399258323786,0.8442520968850303
oa_only,action,gpt4o,25,265,0.42641509433962266,0.6812895909122324,0.7111058447720869
oa_only,action,gpt4o,40,265,0.47547169811320755,0.7425973607105683,0.7838515827115976
oa_only,action,gpt4o,55,265,0.6037735849056604,0.845172332908182,0.8736198414609118
oa_only,action,gpt4o,70,265,0.6075471698113207,0.8410506265223247,0.8706754651272072
oa_only,action,gpt4o,85,265,0.6566037735849056,0.8737962875698725,0.9002399310188474
oa_only,action,gpt4o,95,265,0.690566037735849,0.9003333563710922,0.9260199162195314
oa_only,action,luna,all,1590,0.47861635220125787,0.7976701355946639,0.8396173543712628
oa_only,action,luna,25,265,0.35094339622641507,0.6688347920423392,0.7493689561227582
oa_only,action,luna,40,265,0.4188679245283019,0.7432301870037719,0.795458182636297
oa_only,action,luna,55,265,0.4981132075471698,0.8255566027264141,0.8604321944263746
oa_only,action,luna,70,265,0.5433962264150943,0.8393834676853544,0.8696608597377561
oa_only,action,luna,85,265,0.5094339622641509,0.843525552016118,0.874588001730307
oa_only,action,luna,95,265,0.5509433962264151,0.8654902120939857,0.8881959315740837
oa_om,output,tuned_qwen,all,1590,0.39433962264150946,0.8632672594159655,0.9135964321452866
oa_om,output,tuned_qwen,25,265,0.3849056603773585,0.8651068215167973,0.9109877550377036
oa_om,output,tuned_qwen,40,265,0.3886792452830189,0.8624636295866205,0.9125342917892169
oa_om,output,tuned_qwen,55,265,0.4,0.8634195433935785,0.9148959450001987
oa_om,output,tuned_qwen,70,265,0.39622641509433965,0.8641791788140913,0.9143344521522522
oa_om,output,tuned_qwen,85,265,0.4075471698113208,0.864513013464705,0.9149750321541192
oa_om,output,tuned_qwen,95,265,0.3886792452830189,0.8599213697200006,0.9138511167382294
oa_om,output,qwen_base,all,1590,0.20251572327044026,0.8649093072972344,0.9250491318087908
oa_om,output,qwen_base,25,265,0.11320754716981132,0.8205366777926572,0.8985455949351473
oa_om,output,qwen_base,40,265,0.15471698113207547,0.8459227963560347,0.9169394353650651
oa_om,output,qwen_base,55,265,0.19622641509433963,0.8671456723066975,0.9286815852489112
oa_om,output,qwen_base,70,265,0.21509433962264152,0.8780923053331322,0.9308189484308351
